FIPS,Month,ROC,County
53061,Jan,0.0,Snohomish County
53061,Feb,0.03,Snohomish County
53061,Mar,39.55,Snohomish County
53061,Apr,38.07,Snohomish County
53061,May,28.48,Snohomish County
53061,Jun,21.3,Snohomish County
53061,Jul,54.13,Snohomish County
53061,Aug,43.35,Snohomish County
53061,Sept,35.33,Snohomish County
53061,Oct,64.45,Snohomish County
53061,Nov,191.8,Snohomish County
53061,Dec,213.88,Snohomish County
17031,Jan,0.12,Cook County
17031,Feb,0.03,Cook County
17031,Mar,144.94,Cook County
17031,Apr,1045.37,Cook County
17031,May,1266.35,Cook County
17031,Jun,401.37,Cook County
17031,Jul,470.39,Cook County
17031,Aug,659.55,Cook County
17031,Sept,615.67,Cook County
17031,Oct,1298.48,Cook County
17031,Nov,3775.57,Cook County
17031,Dec,2798.38,Cook County
06059,Jan,0.0,Orange County
06059,Feb,0.0,Orange County
06059,Mar,16.16,Orange County
06059,Apr,60.5,Orange County
06059,May,121.39,Orange County
06059,Jun,243.7,Orange County
06059,Jul,702.68,Orange County
06059,Aug,377.58,Orange County
06059,Sept,213.8,Orange County
06059,Oct,206.42,Orange County
06059,Nov,625.37,Orange County
06059,Dec,2608.0,Orange County
04013,Jan,0.0,Maricopa County
04013,Feb,0.0,Maricopa County
04013,Mar,25.48,Maricopa County
04013,Apr,103.37,Maricopa County
04013,May,182.55,Maricopa County
04013,Jun,1292.43,Maricopa County
04013,Jul,2097.65,Maricopa County
04013,Aug,465.58,Maricopa County
04013,Sept,261.73,Maricopa County
04013,Oct,531.55,Maricopa County
04013,Nov,1529.23,Maricopa County
04013,Dec,3418.12,Maricopa County
06037,Jan,0.0,Los Angeles County
06037,Feb,0.0,Los Angeles County
06037,Mar,97.1,Los Angeles County
06037,Apr,655.47,Los Angeles County
06037,May,992.94,Los Angeles County
06037,Jun,1585.37,Los Angeles County
06037,Jul,2676.58,Los Angeles County
06037,Aug,1647.58,Los Angeles County
06037,Sept,925.93,Los Angeles County
06037,Oct,1169.26,Los Angeles County
06037,Nov,3061.47,Los Angeles County
06037,Dec,11469.12,Los Angeles County
06085,Jan,0.0,Santa Clara County
06085,Feb,0.1,Santa Clara County
06085,Mar,28.48,Santa Clara County
06085,Apr,40.23,Santa Clara County
06085,May,19.26,Santa Clara County
06085,Jun,47.53,Santa Clara County
06085,Jul,172.29,Santa Clara County
06085,Aug,226.71,Santa Clara County
06085,Sept,130.47,Santa Clara County
06085,Oct,113.84,Santa Clara County
06085,Nov,331.53,Santa Clara County
06085,Dec,1070.96,Santa Clara County
25025,Jan,0.0,Suffolk County
25025,Feb,0.0,Suffolk County
25025,Mar,44.26,Suffolk County
25025,Apr,375.53,Suffolk County
25025,May,149.71,Suffolk County
25025,Jun,41.27,Suffolk County
25025,Jul,44.16,Suffolk County
25025,Aug,70.74,Suffolk County
25025,Sept,30.9,Suffolk County
25025,Oct,136.42,Suffolk County
25025,Nov,264.27,Suffolk County
25025,Dec,551.73,Suffolk County
06075,Jan,0.0,San Francisco County
06075,Feb,0.04,San Francisco County
06075,Mar,12.81,San Francisco County
06075,Apr,35.5,San Francisco County
06075,May,33.39,San Francisco County
06075,Jun,34.43,San Francisco County
06075,Jul,94.42,San Francisco County
06075,Aug,89.39,San Francisco County
06075,Sept,57.7,San Francisco County
06075,Oct,34.42,San Francisco County
06075,Nov,103.9,San Francisco County
06075,Dec,249.65,San Francisco County
55025,Jan,0.0,Dane County
55025,Feb,0.0,Dane County
55025,Mar,6.23,Dane County
55025,Apr,7.1,Dane County
55025,May,9.77,Dane County
55025,Jun,37.97,Dane County
55025,Jul,68.81,Dane County
55025,Aug,42.55,Dane County
55025,Sept,169.37,Dane County
55025,Oct,185.35,Dane County
55025,Nov,389.07,Dane County
55025,Dec,198.88,Dane County
06073,Jan,0.0,San Diego County
06073,Feb,0.0,San Diego County
06073,Mar,23.65,San Diego County
06073,Apr,92.6,San Diego County
06073,May,121.61,San Diego County
06073,Jun,219.83,San Diego County
06073,Jul,465.32,San Diego County
06073,Aug,291.19,San Diego County
06073,Sept,276.97,San Diego County
06073,Oct,298.87,San Diego County
06073,Nov,831.37,San Diego County
06073,Dec,2277.92,San Diego County
48029,Jan,0.0,Bexar County
48029,Feb,0.56,Bexar County
48029,Mar,6.32,Bexar County
48029,Apr,38.17,Bexar County
48029,May,43.65,Bexar County
48029,Jun,307.53,Bexar County
48029,Jul,912.87,Bexar County
48029,Aug,169.81,Bexar County
48029,Sept,373.3,Bexar County
48029,Oct,256.03,Bexar County
48029,Nov,503.67,Bexar County
48029,Dec,967.96,Bexar County
31055,Jan,0.0,Douglas County
31055,Feb,0.23,Douglas County
31055,Mar,3.23,Douglas County
31055,Apr,18.47,Douglas County
31055,May,114.71,Douglas County
31055,Jun,93.63,Douglas County
31055,Jul,95.52,Douglas County
31055,Aug,101.35,Douglas County
31055,Sept,95.5,Douglas County
31055,Oct,218.58,Douglas County
31055,Nov,567.23,Douglas County
31055,Dec,389.58,Douglas County
06023,Jan,0.0,Humboldt County
06023,Feb,0.0,Humboldt County
06023,Mar,0.84,Humboldt County
06023,Apr,0.9,Humboldt County
06023,May,1.52,Humboldt County
06023,Jun,1.03,Humboldt County
06023,Jul,3.13,Humboldt County
06023,Aug,5.0,Humboldt County
06023,Sept,3.97,Humboldt County
06023,Oct,1.81,Humboldt County
06023,Nov,10.9,Humboldt County
06023,Dec,25.58,Humboldt County
06067,Jan,0.0,Sacramento County
06067,Feb,0.22,Sacramento County
06067,Mar,7.13,Sacramento County
06067,Apr,25.43,Sacramento County
06067,May,10.45,Sacramento County
06067,Jun,59.8,Sacramento County
06067,Jul,207.19,Sacramento County
06067,Aug,259.23,Sacramento County
06067,Sept,145.6,Sacramento County
06067,Oct,110.65,Sacramento County
06067,Nov,385.6,Sacramento County
06067,Dec,870.42,Sacramento County
06095,Jan,0.0,Solano County
06095,Feb,1.67,Solano County
06095,Mar,1.35,Solano County
06095,Apr,7.13,Solano County
06095,May,8.1,Solano County
06095,Jun,24.73,Solano County
06095,Jul,71.26,Solano County
06095,Aug,61.32,Solano County
06095,Sept,29.93,Solano County
06095,Oct,37.39,Solano County
06095,Nov,100.47,Solano County
06095,Dec,253.81,Solano County
53063,Jan,0.0,Spokane County
53063,Feb,0.0,Spokane County
53063,Mar,4.39,Spokane County
53063,Apr,7.37,Spokane County
53063,May,7.39,Spokane County
53063,Jun,25.97,Spokane County
53063,Jul,70.97,Spokane County
53063,Aug,50.03,Spokane County
53063,Sept,57.87,Spokane County
53063,Oct,85.55,Spokane County
53063,Nov,244.0,Spokane County
53063,Dec,297.54,Spokane County
49035,Jan,0.0,Salt Lake County
49035,Feb,0.0,Salt Lake County
49035,Mar,12.74,Salt Lake County
49035,Apr,66.47,Salt Lake County
49035,May,87.61,Salt Lake County
49035,Jun,196.23,Salt Lake County
49035,Jul,245.13,Salt Lake County
49035,Aug,152.13,Salt Lake County
49035,Sept,249.9,Salt Lake County
49035,Oct,550.58,Salt Lake County
49035,Nov,1021.53,Salt Lake County
49035,Dec,845.23,Salt Lake County
06041,Jan,0.0,Marin County
06041,Feb,0.0,Marin County
06041,Mar,3.26,Marin County
06041,Apr,4.3,Marin County
06041,May,7.84,Marin County
06041,Jun,59.6,Marin County
06041,Jul,83.65,Marin County
06041,Aug,35.68,Marin County
06041,Sept,17.9,Marin County
06041,Oct,12.71,Marin County
06041,Nov,21.77,Marin County
06041,Dec,64.04,Marin County
06055,Jan,0.0,Napa County
06055,Feb,0.0,Napa County
06055,Mar,0.48,Napa County
06055,Apr,1.63,Napa County
06055,May,1.45,Napa County
06055,Jun,6.77,Napa County
06055,Jul,17.61,Napa County
06055,Aug,17.23,Napa County
06055,Sept,9.43,Napa County
06055,Oct,9.68,Napa County
06055,Nov,35.0,Napa County
06055,Dec,86.77,Napa County
06097,Jan,0.0,Sonoma County
06097,Feb,0.0,Sonoma County
06097,Mar,2.71,Sonoma County
06097,Apr,5.1,Sonoma County
06097,May,10.19,Sonoma County
06097,Jun,20.63,Sonoma County
06097,Jul,55.32,Sonoma County
06097,Aug,88.55,Sonoma County
06097,Sept,55.37,Sonoma County
06097,Oct,68.0,Sonoma County
06097,Nov,87.77,Sonoma County
06097,Dec,210.96,Sonoma County
41067,Jan,0.0,Washington County
41067,Feb,0.0,Washington County
41067,Mar,5.94,Washington County
41067,Apr,10.07,Washington County
41067,May,7.71,Washington County
41067,Jun,19.6,Washington County
41067,Jul,43.9,Washington County
41067,Aug,32.26,Washington County
41067,Sept,26.43,Washington County
41067,Oct,49.1,Washington County
41067,Nov,144.2,Washington County
41067,Dec,170.92,Washington County
53033,Jan,0.0,King County
53033,Feb,1.5,King County
53033,Mar,74.87,King County
53033,Apr,127.07,King County
53033,May,56.52,King County
53033,Jun,66.8,King County
53033,Jul,156.71,King County
53033,Aug,137.61,King County
53033,Sept,89.63,King County
53033,Oct,167.65,King County
53033,Nov,547.97,King County
53033,Dec,597.62,King County
06001,Jan,0.0,Alameda County
06001,Feb,0.0,Alameda County
06001,Mar,10.74,Alameda County
06001,Apr,41.47,Alameda County
06001,May,56.58,Alameda County
06001,Jun,83.13,Alameda County
06001,Jul,166.03,Alameda County
06001,Aug,216.23,Alameda County
06001,Sept,97.93,Alameda County
06001,Oct,78.0,Alameda County
06001,Nov,197.47,Alameda County
06001,Dec,707.42,Alameda County
12057,Jan,0.0,Hillsborough County
12057,Feb,0.0,Hillsborough County
12057,Mar,9.81,Hillsborough County
12057,Apr,25.4,Hillsborough County
12057,May,33.48,Hillsborough County
12057,Jun,283.37,Hillsborough County
12057,Jul,569.39,Hillsborough County
12057,Aug,243.45,Hillsborough County
12057,Sept,159.67,Hillsborough County
12057,Oct,190.55,Hillsborough County
12057,Nov,320.8,Hillsborough County
12057,Dec,585.81,Hillsborough County
12081,Jan,0.0,Manatee County
12081,Feb,0.0,Manatee County
